	Job Title	Company Name	Rating	Experience	Location	Minimum Requirements	Tech Stack
1608	Manager- Finance Data and Process Architecture	AMERICAN EXPRESS	4.3	3-8 Yrs	Bengaluru	Bachelor s degree in Finance, Information Management, Data Management or similar field ...	Career development,Data validation,Data management,Financial reporting,Analytical,Information management,Operations,User acceptance testing
1609	Vision & Deep Learning Engineer	Tonbo Imaging Pvt Ltd	4.2	3-8 Yrs	Bengaluru	The ideal candidate should be comfortable making significant contributions in a few of ...	Computer science,Geometry,Computer vision,C++,Prototype,Front end,Linux,Machine learning
1610	Manager Finance - Data and Process Architecture	AMERICAN EXPRESS	4.3	7-10 Yrs	Hybrid - Bengaluru	Identify required reference data needs and design the processes for collecting and main...	Big Data Analytics,Finance Data Management,Business Architecture,Treasury,Process Architecture,Financial Services,Lending,Accounting
1611	Data Analyst	Indium Software	3.8	2-4 Yrs	Hyderabad/Secunderabad	      1. **Data Preprocessing and Analysis:*    - Collect, clean, and pre process large...	Data analysis,GCP,SOC,Machine learning,Monitoring,SQL,Python,CRM
1612	Principal Engineer	Intuit	3.9	10-12 Yrs	Bengaluru	Job OverviewIntuit is seeking a highly motivated and experienced Principal Software Eng...	SaaS,Java,CSS,PaaS,JavaScript,GraphQL,big data,React
1613	Senior Principal Software Engineer - Web & Mobile	Swiggy	3.9	4-8 Yrs	Bengaluru	Deep understanding of modern mobile and web applications design architecture, good API ...	continuous integration,Operational excellence,Mobile development,Coding,Web development,High level design,Engineering Design,Individual Contributor
1614	Principal Engineer/SME	Johnson Controls	3.3	6-11 Yrs	Bengaluru	You should own the technical consideration to win the job and should be part of HOTO pr...	Access control,Fire alarm system,Front desk,Costing,Structured cabling,ICT,Visio,SCM
1615	Principal Engineer - Software	Microchip Technology Inc.	4.0	6-11 Yrs	Bengaluru	Ability to work well independently and in a team environment. Ability to develop techni...	ERP,Change management,Software design,Production support,Configuration management,Test planning,Test cases,Release management
1616	Principal Engineer - Implementation	Microchip Technology Inc.	4.0	6-11 Yrs	Bengaluru	Requirements / Qualifications: . - Bachelors or master s degree in electronics engineer...	STA,Timing closure,Employee development,DFT,EDA tools,Analytical,Manager Technology,Microchip
1617	Principal Engineer - Firmware Testing	Microchip Technology Inc.	4.0	7-12 Yrs	Bengaluru	You will be expected to create test plans, define testing methods, specify required whi...	Simulation,Linux,FPGA,Chip design,Analytical,SOC,PCIE,Firmware
1618	Principal Engineer - CAD Digital Simulation	Microchip Technology Inc.	4.0	5-9 Yrs	Chennai, Bengaluru	      Microchip is seeking to employ a  principal  CAD engineer in our Central CAD divi...	Engineering services,Simulation,Linux,Aerospace,Digital design,CAD,Perl,System verilog
1619	Principal Engineer - Application	Microchip Technology Inc.	4.0	7-11 Yrs	Bengaluru	Requirements / Qualifications: . BE (EEE or ECE) with 8+ years of experience . Travel T...	Employee development,Diagnostics,Manager Technology,Silicon,Microchip,functional safety,Principal,Management
1620	Principal Engineer - Analog Design	Microchip Technology Inc.	4.0	7-13 Yrs	Bengaluru	Requirements / Qualifications: . Analog Design experience with deep sub-micron process,...	Interpersonal skills,Simulation,Power management,SOC,Manager Technology,Tool design,Microchip,IPS
1621	Senior/Principal Engineer Applications	Microchip Technology Inc.	4.0	9-14 Yrs	Bengaluru	Requirements / Qualifications: . Bachelors degree (BE / B-Tech) in Electronics Telecomm...	RTOS,Product quality,Embedded C,Debugging,Firmware,Continuous improvement,Microchip,SPI
1622	Principal Engineer-Verification	Microchip Technology Inc.	4.0	10-15 Yrs	Bengaluru	. BSEE minimum with 10-15 years of experience in the verification of large, complex mod...	Bluetooth,VLSI,SOC,Mixed signal,Test planning,Perl,Microchip,UVM
1623	Principal Engineer - Validation	Microchip Technology Inc.	4.0	6-11 Yrs	Bengaluru	- At least a BE / BTech in Electronics engineering (preferably MS / MTech) from an accr...	Embedded C,Automation,ASIC,Bluetooth,USB,SOC,Ethernet,Perl
1624	Principal Engineer - Software Development	Microchip Technology Inc.	4.0	6-11 Yrs	Bengaluru	. As a senior member of the team you will be expected to mentor junior members of the t...	Agile,JSON,Scheduling,Troubleshooting,JIRA,Microchip,MCC,Automotive
1625	Principal Engineer, Quality Assurance Engineering - IATF & ISO 26262	Western Digital	4.0	12-15 Yrs	Bengaluru	QMS certification like Lead Auditor or Internal Auditor in ISO 9001 / IATF 16949 . Good...	Semiconductor,ISO,Integration testing,CMMI,Product design,Software quality assurance,Automotive,SDLC
1626	Principal Engineer, Quality Assurance Engineering - IATF	Western Digital	4.0	12-15 Yrs	Bengaluru	QMS certification like Lead Auditor or Internal Auditor in ISO 9001 / IATF 16949 . Good...	Semiconductor,ISO,Integration testing,CMMI,Product design,Software quality assurance,Automotive,SDLC
1627	Principal Engineer Software Concepts	Infineon	4.0	7-11 Yrs	Bengaluru	A degree in technical studies like Computer Science, Electrical Engineering or Informat...	Electrical engineering,software architecture,Technical Expert,Hardware,Information technology,Automotive,functional safety,Principal
1628	Sr. Staff Engineer/ Principal Engineer	Infineon	4.0	9-13 Yrs	Bengaluru	The technical lead should design and implement robust security features to ensure isola...	VMware,C++,Automation,Customer support,QNX,microsoft,Open source,Risk management
1629	Principal Engineer Virtual Prototype	Infineon	4.0	7-11 Yrs	Bengaluru	Good grasp over the techniques and technologies to identify issues in customer environm...	C++,Automation,Linux,Ethernet,System verilog,Windows,Visual Studio,Risk management
1630	Principal Engineer	One Muthoot	None	7-8 Yrs	Bengaluru	. Bachelors degree in computer engineering / computer science or related fieldExperienc...	Principal Engineer,engineer
1631	Associate Principal Engineer	One Muthoot	None	5-7 Yrs	Bengaluru	. Bachelors degree in computer engineering / computer science or related fieldExperienc...	Principal Engineer,Associate
1632	Software Principal Engineer	Dell Technologies	4.1	6-10 Yrs	Bengaluru	8+ years of industry experience on Windowsdriver or related system technologies with a ...	system technologies,Windows Infrastructure Management,root cause analysis,Principal Software Engineer,System,Microsoft Windows,Infrastructure,Windows Development
1633	Software Principal Engineer	Dell Technologies	4.1	8-12 Yrs	Bengaluru	Essential Requirements. 8-12 years of experience in Java, Spring and building microserv...	java,product design,kubernetes,Hyper-V,linux,software engineering,Spring,microservices
1634	Software Senior Principal Engineer	Dell Technologies	4.1	12-18 Yrs	Bengaluru	Senior Principal Software EngineerThe Software Engineering team delivers next-generatio...	data structures,cloud-native,software development,Performance Engineering,Data Protection,Data algorithms,performance validation,performance evaluation
1635	Lead Assistant Manager	EXL	3.8	0-2 Yrs	Bengaluru	    At EXL, we are developing solutions for some of the most exciting and challenging A...	Usage,data science,Coding,Machine learning,Cloud,Healthcare,Open source,Financial services
1636	Principal Engineer Design	Infineon	4.0	12-16 Yrs	Bengaluru	Must have successfully developed and delivered multiple Si Proven IPfrom spec to produc...	HSPICE,C,VLSI,Analog,Manager Technology,Perl,Product testing,analog circuit design
1637	Principal Engineer - Synthesys and STA	Infineon	4.0	15-17 Yrs	Bengaluru	"  ""15 years of experience in Synthesis-STA of highly complex SoCs    Take over STA setu..."	STA,Networking,SOC,Programming,Packaging,Technical Lead,Perl,Management
1638	Senior Staff/Principal Engineer Virtual Prototype Development	Infineon	4.0	8-13 Yrs	Bengaluru	. Hands-on experience in System-C/ TLM 0 on various development platform (Windows / Lin...	C++,Automation,Linux,SOC,Ethernet,System verilog,Windows,Visual Studio
1639	R&D Principal Engineer	Hitachi Ltd.	4.1	6-10 Yrs	Bengaluru	Responsibility to review technical descriptions, user documentation and make sure that ...	Power system,Manager Technology,Process development,Application development,Technology solutions,Research,Monitoring,System implementation
1640	R&D Principal Engineer	Hitachi Energy	4.1	6-10 Yrs	Bengaluru	Responsibility to review technical descriptions, user documentation and make sure that ...	Power system,Corporate,Manager Technology,Process development,Application development,Technology solutions,Research,Monitoring
1641	Principal Engineer	Tata Elxsi	4.0	8-13 Yrs	Bengaluru, Karnataka	 Experience in remote IT Infrastructure support of global enterprise clientsStrong 6+ y...	Hci,VMware,Nsx,VCenter,Linux,IT Infrastructure,ESXI,Infrastructure
1642	Routing Switching QA Principal Engineer	Ciena	4.2	6-10 Yrs	Gurugram	        Functional engineer will be responsible for developing functional test strategi...	Automation,Manual testing,Networking,Ethernet,Debugging,Test cases,Troubleshooting,MPLS
1643	Principal Engineer	Ciena	4.2	6-13 Yrs	Gurugram	The flexibility to work independently and as part of a broader team - you thrive in a m...	Software design,Linux,VPN,Project management,Ethernet,SNMP,SDK,Virtualization
1644	Principal Engineer - Routing/Switching Software Engineer 4 - DNX	Ciena	4.2	7-12 Yrs	Gurugram	      Develop Dataplane Broadcom centric features and capabilities in areas of VLAN (Q-...	Software design,Linux,VPN,Project management,Ethernet,SNMP,SDK,Virtualization
1645	Principal Engineer - Routing/IP Middleware Infra	Ciena	4.2	8-12 Yrs	Gurugram	      We are seeking experienced, talented software engineers and software architects w...	Networking,Linux kernel,Ethernet,Agile,SNMP,Network security,Troubleshooting,Middleware
1646	Principal Engineer - C/Linux/ Virtualization/Kernel / Platform	Ciena	4.2	8-12 Yrs	Gurugram	The Must Haves: . 10+ years of experience with Bachelor s/ Master s degree in Computer ...	Software design,Ciena,Networking,Linux kernel,System programming,Agile,Routing,Virtualization
1647	Principal Engineer - C/Linux	Ciena	4.2	9-10 Yrs	Gurugram	. 9+ years of experience with Bachelor s/ Master s degree in Computer Science (or equiv...	Embedded C,Ciena,GIT,Linux,X86,Perl,Middleware,Monitoring
1648	Backed - Senior Principal Engineer	Paytm	3.5	14-17 Yrs	Bengaluru	Preferred Qualifications: B . achelors / Masters Degree in Computer Science or equivale...	Performance tuning,Software design,Backend,GIT,RDBMS,EDC,Open source,AWS
1649	Principal Engineer	Quality Engineering  Software Technologies Pvt. Ltd.	3.6	15-17 Yrs	Bengaluru	. API Certification 510 / 570/571 / 580/653 Flexible to make short trips as required by...	Engineering services,Plant operations,Automation,SAP,LNG,Inspection,Presales,Refinery
1650	Principal Engineer - Design Systems	Infineon	4.0	8-10 Yrs	Bengaluru	Develop Infineons shift left methodologies like top level connectivity, Power and early...	Unix,C++,Automation,VHDL,VLSI,Agile,Data structures,System verilog
1651	Principal Engineer -FPGA/RTL Design	Thales	4.0	12-15 Yrs	Bengaluru	Experience in working with embedded micro-processors with understanding of hardware . i...	RTL design,GIT,ECC,Aerospace,FPGA,Project management,Risk assessment,Hardware
1652	Process Lead - Hire To Retire	Siemens	4.2	0-2 Yrs	Bengaluru	    You will be working as a part of People Analytics teamwhich focusses on providing a...	Data analysis,SAP,Factor analysis,Data management,Talent acquisition,Consulting,Predictive modeling,Data mining
1653	Principal Engineer - Frontend	Zeta Inc.	3.4	4-8 Yrs	Bengaluru	Proven experience in designing web application architecture for multi tenant SaaS appli...	Product management,Backend,Coding,MySQL,Web development,Javascript,Performance testing,HTTP
1654	Principal Engineer	Quality Engineering  Software Technologies Pvt. Ltd.	3.6	12-15 Yrs	Bengaluru	. Should have sound knowledge on Oil & Gas upstream and downstream business in the foll...	Engineering services,Plant operations,Automation,SAP,LNG,Inspection,Presales,Refinery
1655	Software Principal Engineer (SPE) / Senior SPE - Open RAN Accelerator	Dell Technologies	4.1	8-13 Yrs	Bengaluru	Should be experienced in deploying and managing Kubernetes clusters, including working ...	Kubernetes,algorithms,C++,C,Linux,Networking,Data processing,Firmware
1656	Principal Engineer - Multi Technology Expert	Schneider Electric	4.1	15-17 Yrs	Bengaluru	       This is a Technology leadership role and the candidate will be placed as Grade 7...	Supply chain,Electrical engineering,Market study,Prototype,Switchgear,Agile scrum,development testing,Manager Technology
1657	Data Science Engineer - NLP, LLM, and Generative AI Services	Desicrew Solutions	3.8	2-7 Yrs	Kolkata, Hyderabad/Secunderabad, Pune, Calicut/ Kozhikode, Kerala, Ahmedabad, Chennai, Bengaluru, Delhi / NCR, Mumbai (All Areas)	We are looking for a Software Application Engineer with expertise in providing NLP, LLM...	Natural Language Processing,LLM,large language model,Data Science,generative ai services,Artificial Intelligence,Processing,Process
1658	Sr Staff Applied Research Scientist / Engineer	Service Now Planet	5.0	14-16 Yrs	Hyderabad/Secunderabad	. To be successful in this role you have: . 14-16+ years of experience . Experience in ...	Training,deep learning,C++,Architecture,Machine learning,Natural language processing,Research,Python
1659	Data Engineer	Clairvoyant India Pvt. Ltd	4.0	3-6 Yrs	Hyderabad/Secunderabad, Pune	   Hands-on developer who writes good quality, secure code that is modular,  functional...	Performance tuning,Automation,Coding,MIS,Debugging,Agile,Scrum,Oracle
1660	Urgently Hiring For Senior Data Engineer Role	Globant	4.0	5-10 Yrs	Indore, Madhya Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra	The current problem is that read speed is compromised and faster responses from delta a...	Azure Data Factory,Pyspark,Azure Databricks,Azure Data Lake,Python,SQL Azure,Data,Data Engineering
1661	Data Science Engineer	Srijan Spectrum	None	8-10 Yrs	Hyderabad/Secunderabad, Pune, Maharashtra, Chennai, Tamil Nadu, Bengaluru, Mumbai (All Areas)	Mandatory Skills: Python, Distance Matching Algorithms (Cosine, Soundex, , levenshtein ...	Data Science,levenshtein,Soundex,fuzzy matching,Python,cosine,Data,Trigonometry
1662	Associate Manager Data Engineer	Pepsi Foods	4.1	1-4 Yrs	Hyderabad/Secunderabad	Experience with at least one MPP database technology such as Redshift, Synapse or SnowF...	Supply chain,Automation,Business transformation,Data management,Data collection,Business intelligence,Monitoring,SQL
1663	Azure Data Engineer	Diabeto Medtech	None	8-13 Yrs	Hybrid - Pune, Maharashtra	 Responsibilities:Data is significant at Teladoc and our data engineers design and deve...	Pyspark,Azure Cloud,Azure Databricks,Python,SQL,Azure Data Factory,Data,Cloud
1664	Azure Data Engineer	Talentoj	None	4-9 Yrs	Indore, Madhya Pradesh, Pune, Maharashtra, Ahmedabad, Gujarat	 Job Description:We are seeking a highly skilled Azure Data Engineer to join the data e...	Azure Data Factory,Azure Databricks,Azure Data Lake,Azure Synapse,Pyspark,SQL Azure,Factory,Microsoft Azure
1665	Sr. Data Engineer-Bengaluru-WFO	Skilfil Consultants	None	15-20 Yrs	Bengaluru(Koramangala)	high level in Architecture or Data Science or combination and Data modelling for the re...	Data Science,ADF,Architecture,MS SQL Server,ADW,ADL,machine learning,data scie
1666	Manager - Data Engineer	Pepsi Foods	4.1	14-15 Yrs	Gurugram	Experience with at least one MPP database technology such as Redshift, Synapse or SnowF...	Supply chain,Automation,Business transformation,Data management,Data collection,Business intelligence,Monitoring,SQL
1667	Azure Data ML Engineer - Bangalore Location	Lagozon Technologies	3.6	1-3 Yrs	Bengaluru, Karnataka	Collaborating closely with data scientists and analysts to develop data-driven solution...	Azure Databricks,Ml,Azure Synapse,mlops,spark,Azure Data Lake,pyspark,react
1668	Senior Data Engineer	Springer Nature	3.8	5-9 Yrs	Hybrid - Pune, Maharashtra(Kharadi)	We are ISO 9001 certified, driven by over 1000 professionals in Technology, Research & ...	Data Engineer,SQL,Python,Data,Data Engineering,Senior
1669	Data Engineer	Baazi Games	3.2	2-5 Yrs	New Delhi	. Good to have experience with AWS technologies including Redshift, RDS, S3, EMR, EML o...	Automation,metadata,Perl,Business intelligence,Ruby,AWS,Unix shell scripting,Reporting tools
1670	GCP Data Engineer	Clairvoyant India Pvt. Ltd	4.0	4-7 Yrs	Pune	4+ Years of Experience in Software Engineering and building and maintaining Certificati...	Technical training,Analytical skills,Project development,Technology consulting,GCP,Machine learning,Operations,Analytics
1671	Data Engineer	Energy Exemplar	4.1	3-8 Yrs	Pune, Maharashtra	Data Engineering expertise with strong experience working with Python, Beautiful Soup, ...	Azure data,Big Data Technologies,Python,Web Scraping,Data Engineering,Web technologies,Data,Big Data
1672	Data Engineer	Olam	3.7	6-8 Yrs	Chennai	Proven advanced level of implementing multiple database platforms (OLAP, OLTP, Data War...	Consulting,Javascript,Outsourcing,Informatica,Teradata,big data,Monitoring,Business operations
1673	Senior Consultant Data Engineering	Providence College Of Engineering	4.3	3-10 Yrs	Hyderabad/Secunderabad	Bachelors degree in mathematics, statistics, healthcare administration, or related fiel...	Data analysis,Data management,Data modeling,Analytical,Engineering Manager,Healthcare,Data quality,Analytics
1674	Data Engineer ( Data Science )	Flutter	None	3-8 Yrs	Warangal, Hyderabad/Secunderabad, Nizamabad	Coding experience in Java or Python . Broad experience and familiarity with AWS technol...	Cloud computing,Coding,Shell scripting,Machine learning,Integration testing,Agile,Business intelligence,Gaming
1675	Snowflake - Data Engineer	Jade Global	3.6	5-10 Yrs	Pune	 Data Engineer with good knowledge of Snowflake cloud platform, architecture.   Experie...	Analytical skills,Interpersonal skills,Business analysis,Database design,Data modeling,SCALA,Design development,Data warehousing
1676	Consultant Data Engineer Azure	Absolutdata	3.5	2-5 Yrs	New Delhi	Hands-on experience engineering, deploying, and running cloud solutions on Azure servic...	Telecom,SAN,Performance tuning,Automation,Consulting,JSON,microsoft,Virtualization
1677	Senior Data Engineer	Mijas Consultants	None	5-8 Yrs	Hybrid - Pune, Maharashtra	 Summarized Accountability:The data engineer will play a pivotal role in building and o...	Azure Data Engineer,Python,Azure Data Factory,Azure Synapse,Pyspark,Data Engineer,Azure Databricks,Azure Data Lake
1678	Data Engineer	Saama Technologies	3.7	2-6 Yrs	Chennai	. Graduation or any equivalent qualification from a reputed institute . 2-6 years of ex...	Customer acquisition,Architecture,Scalability,Senior Executive,Infrastructure,big data,Operations,AWS
1679	Manager - Data Engineer	Pepsi Foods	4.1	14-15 Yrs	Hyderabad/Secunderabad	     Maintain a predictable, transparent, global operating rhythm that ensures always-o...	Procurement,Supply chain,Automation,Business transformation,Data management,Business intelligence,Monitoring,SQL
1680	Assoc Manager - Data Engineer	Pepsi Foods	4.1	11-15 Yrs	Gurugram	Experience with at least one MPP database technology such as Redshift, Synapse or SnowF...	Supply chain,Automation,Business transformation,Data management,Data collection,Business intelligence,Monitoring,SQL
1681	Senior Analyst Data Engineer	Pepsi Foods	4.1	1-4 Yrs	Gurugram	Experience with at least one MPP database technology such as Redshift, Synapse or SnowF...	Supply chain,Automation,Business transformation,Data management,Data collection,Business intelligence,Monitoring,SQL
1682	Associate Manager Data Engineer	Pepsi Foods	4.1	11-14 Yrs	Gurugram	Experience with at least one MPP database technology such as Redshift, Synapse or SnowF...	Supply chain,Automation,Business transformation,Data management,Data collection,Business intelligence,Monitoring,SQL
1683	Quantexa Data Engineer	FCS Software Solutions	3.4	5-10 Yrs	Remote	Quantexa Technical Academy certified Hands on experience on Quantexa is a MUST Descript...	quantexa data engineer,Java,Data Engineering,SCALA,Hadoop,Spark,Data,Engineering
1684	Sr Analyst - Data Engineer	Pepsi Foods	4.1	9-10 Yrs	Gurugram	Experience with at least one MPP database technology such as Redshift, Synapse or SnowF...	Supply chain,Automation,Business transformation,Data management,Data collection,Business intelligence,Monitoring,SQL
1685	Assoc Manager - Data Engineer	Pepsi Foods	4.1	11-12 Yrs	Gurugram	Experience with at least one MPP database technology such as Redshift, Synapse or SnowF...	Supply chain,Automation,Business transformation,Data management,Data collection,Business intelligence,Monitoring,SQL
1686	Senior Engineer - Master Data Management (MDM)	Pepsi Foods	4.1	5-6 Yrs	Hyderabad/Secunderabad	Bachelor s degree in business, Computer Science . 5+ Years of experience in Information...	Computer science,Data analysis,metadata,Usage,Design review,Machine learning,Information management,Business intelligence
1687	Data Analytics Engineer	Varroc Engineering	3.7	2-5 Yrs	Pune	  To execute proof of concepts and implement projects in Advanced Analytics using Stati...	advanced analytics,Data analysis,Usage,Analytical,Machine learning,Manager Technology,Data analytics,Analytics
1688	AVP-Data Science( Data Engineering and ML Modeling)	Aye Finance	4.2	5-9 Yrs	Gurugram	      Building end-to-end data pipelines for ML models, other data driven solutions suc...	Automation,Data analysis,Linux,Data management,Coding,XML,JSON,SQL
1689	Data Scientist	Peoplefy Infosolutions	None	2-7 Yrs	Hybrid - Pune, Maharashtra	Proficient in use of Python for manipulating data and drawing insights from data setsBT...	data science,Python,Data,Science
1690	Lead Software Engineer	Cimpress	4.1	6-10 Yrs	Bengaluru, Mumbai (All Areas)	Who We Are: Vista is the industry leader in personalized physical and digital products....	C#,Algorithms,Data Structures,Javascript,React.Js,OOPS,HTML5,CSS3
1691	UI-Lead Engineer	Fico	4.0	5-9 Yrs	Bengaluru	Bachelors degree in Computer Science / Engineering, Software Engineering, Information T...	Product management,Software design,Machine learning,Javascript,HTML,Application development,Information technology,Analytics
1692	Senior Decision Data Scientist/Business Analyst	Indian Pac Consulting	2.9	5-10 Yrs	Patna, Bihar	Indian Political Action Committee (I-PAC) is seeking professionals who can play a pivot...	Python,SQL,Quantitative Analysis,R,Power Bi,Regression,Statistical Modeling,Data Visualization
1693	Job Opportunity For Senior Data Scientist	Peoplefy Infosolutions	None	8-13 Yrs	Hybrid - Pune, Maharashtra	Participating in the development of the M tier roadmap and the Data Scientist NetworkTh...	Natural Language Processing,Python,Data Science,data,Languages,Science,Senior,Process
1694	Associate Data Scientist	DANAHAR CORPORATION	3.3	1-2 Yrs	Hyderabad/Secunderabad	Bachelor s degree in Computer Science, Statistics, Mathematics, or a related field 1-2 ...	Business system,Data analysis,data science,Analytical,Machine learning,Agile,data visualization,SQL
1695	Senior Data Scientist, Actimize	inContact	None	3-8 Yrs	Pune	Experience of containerized Model development using Kubernetes . Collaborate with Busin...	Computer science,Logistic regression,Data analysis,Analytical,Troubleshooting,Risk management,Continuous improvement,Analytics
1696	Staff Data Scientist	Service Now Planet	5.0	10-12 Yrs	Hyderabad/Secunderabad	. To be successful in this role you have: . 10+ years of relevant experience . Solid so...	Training,deep learning,GIT,Architecture,big data analytics,Cloud Services,Machine learning,big data
1697	Data Scientist	Tanla Platforms	3.3	4-9 Yrs	Hyderabad/Secunderabad	 Youll be Responsible for?  Ability to design, develop and implement AI/ML algorithms A...	Data Science,Natural Language Processing,Deep Learning,Predictive Modeling,Neural Networks,Computer Vision,Data,Languages
1698	ServiceNow Staff Data Scientist	ServiceNow	4.1	8-13 Yrs	Hyderabad/Secunderabad	  Bring intelligence to customer workflows by leveraging their individual data     Stru...	Unix,Product management,Computer science,GIT,Machine learning,Workflow,Licensing,microsoft
1699	Staff Data Scientist	Service Now Planet	5.0	8-12 Yrs	Hyderabad/Secunderabad	   Bring intelligence to customer workflows by leveraging their individual data     Str...	Unix,Product management,Computer science,GIT,data science,Machine learning,Technical leadership,Workflow
1700	Data Scientist	Process Point Technologies India	None	3-6 Yrs	Hybrid - Hyderabad/Secunderabad	Role & responsibilities  Responsible for developing PPT solutions for Manufacturing ind...	python,Unsupervised Learning,Clustering,Natural Language Processing,Data,Process,Processing,Languages
1701	Data Scientist / Strategist	Solutioninn, Us	None	2-3 Yrs	Jalandhar, Ludhiana, Patiala, Amritsar	Required Qualifications . Bachelors in any quantitative fields, CS degree will be prefe...	Data analysis,Operations research,Web analytics,Analytical,Social media,Data collection,Customer support,Forecasting
1702	Data Scientist	Bradken India	4.4	4-7 Yrs	Hybrid - Coimbatore, Tamil Nadu	Bachelors or masters degree in computer science, Statistics, Data Science, or a related...	Predictive Modeling,data science,Data Analytics,Statistical Modeling,Statistical Analyses,jira,Python,Data
1703	Data Scientist	Trio Tech Solutions	None	3-8 Yrs	Jaipur, Rajasthan	Proven experience as a Data Scientist or Data Analyst . Experience in data mining .	SQL,Python,Java,Oracle,Data
1704	Data Scientist	Head Infotech India	4.1	2-4 Yrs	Hyderabad/Secunderabad	Deep understanding of key supervised and unsupervised ML algorithms - should be able to...	Career development,Mediclaim,Statistical analysis,Venture capital,E-commerce,Deployment,Gaming,Private equity
1705	Senior Data Scientist	Lawlogix Group	None	3-8 Yrs	Pune	. Credit risk modeling development experience is a must . Mentor and groom junior consu...	Stress testing,Coding,Bfsi,Risk analytics,risk modeling,Finance,Healthcare,Financial services
1706	Senior Manager - Patient Support Services Solution Engineer Lead	Pfizer	4.1	5-10 Yrs	Chennai	Qualifications Must-Have . Bachelors degree required, preferably in Computer Science, E...	Application support,SAS,Project management,Agile,Informatica,Troubleshooting,Information technology,SDLC
1707	Data Migration Data Scientist	Alight	3.8	6-11 Yrs	Hyderabad/Secunderabad	a central DM Senior Lead is accountable for big programs, global strategy and planning,...	Data Science,Program Management,Data Migration,Project Management,KPI,Data,Management,Program
1708	Staff Data Scientist	Udemy	3.9	8-11 Yrs	Chennai	8+ years of relevant hands-on experience in product or business analytics roles Strong ...	SAN,Usage,data science,Analytical,Business analytics,Diversity and Inclusion,Financial planning,Product design
1709	Data Scientist	Connecttel	None	1-5 Yrs	Hyderabad/ Secunderabad, Telangana	Experience: . For Bachelors or masters candidates at least 7 or 5 year of experience is...	Python,Battery Modeling,Cosmol,Gt Suite,GTS,Modeling,Battery,Data
1710	Google Cloud Data Lead	JK Technosoft	3.8	3-7 Yrs	Noida, Bengaluru	Mandatory - Professional Cloud Database Engineer Certification	Performance tuning,Quality standards,query optimization,data loss prevention,Data modeling,Access management,data security,GCP
1711	Immediate Opening For Lead / Senior Data Analyst	Kloud9	3.9	5-9 Yrs	Hybrid - Bengaluru, Karnataka	Proficiency in querying and manipulating complex datasets. . Visualization Tools: Exper...	Relational Sql,KPI Analysis,Visualization Technologies,Performance Reporting,Data Reporting,Product Analyst,Business Intelligence,Business Analyst
1712	Principal Engineer - Data Science	LogiNext	3.4	8-10 Yrs	Mumbai	Requirements: . . Bachelors or Masters degree in Computer Science, Math, Physics, Engin...	Cloud computing,Data analysis,SAS,Data modeling,PHP,Perl,Apache,Data mining
1713	Principal Data Engineer (GCP)	Automotivemastermind Inc.	None	7-10 Yrs	Gurugram	    The Principal Engineer will be a senior technical expert involved in the design and...	Data management,RDBMS,HTTP,Scrum,Data quality,Troubleshooting,Automotive,Python
1714	Principal Data Engineer (GCP)	Automotivemastermind Inc.	None	7-10 Yrs	Gurugram	Bachelor s Degree in Computer Science, Engineering, Math or related fields. Strong data...	Computer science,Data management,GCP,RDBMS,Scrum,Data quality,Troubleshooting,Automotive
1715	Senior Principal Engineer - Data Analytics	Marsh McLennan Companies	4.0	7-9 Yrs	Mumbai, Pune	The data visualization products developed should make the data accessible, understandab...	IT services,Computer science,Data analysis,Interpersonal skills,Graphic designing,HRIS,Process improvement,power bi
1716	Senior Principal Engineer - Data Analytics	Jardine Lloyd Thompson	4.0	7-9 Yrs	Mumbai, Pune	The data visualization products developed should make the data accessible, understandab...	IT services,Computer science,Data analysis,Interpersonal skills,Graphic designing,HRIS,Process improvement,power bi
1717	Machine Learning Quant	Fionics	None	2-6 Yrs	Kol, Mumbai, Delhi, Bengaluru, Chennai	Minimum, 2 year track record creating profitable Alpha strategies using Machine Learnin...	Financial markets,Machine learning,Research,Statistics,Python,Marketing,Machine,Finance
1718	Director of Machine Learning	Zycus Infotech	3.4	10-15 Yrs	Hybrid - Mumbai, Maharashtra, Bengaluru, Karnataka	The candidate must also have expertise in programming traditional machine learning algo...	Natural Language Processing,machine learning,Computer Vision,Image Processing,Text Mining,Deep Learning,Languages,Process
1719	Senior Python Software Engineer	Ericsson	4.3	8-13 Yrs	Hybrid - Bengaluru, Karnataka	We are looking for a dedicated and proactive individual having end to end cloud native ...	REST API,Python Development,Flask,Docker,RDBMS,Machine Learning,Cloud Native,Kubernetes
1720	Fwd: Job Description::Alcon :: Sr Software Engineer	Careernet Technologies	None	6-10 Yrs	Hybrid - Bengaluru(Hebbal)	JOB PURPOSECandidates who have a passion for pushing web technologies to the limits and...	JAVA,Spring,HL7,Dicom,FHIR,Job Description,Software,SR
1721	Senior Software Engineer	Walmart	4.0	1-6 Yrs	Bengaluru	                                           Demonstrates up-to-date expertise and applie...	Networking,Information security,Data structures,big data,Open source,Information technology,Distribution system,Monitoring
1722	Tracxn-Senior Software Engineer-Full Stack-React.js/MongoDB(3+ Yrs)	Tracxn	3.2	3-8 Yrs	Bengaluru	Abhishek Goyal (ex-Accel Partners, Amazon  BTech - IIT Kanpur)  Total Experience : 3+ y...	software developer,css,python,sse,senior developer,ui development,maven,mean stack
